Date,Open,High,Low,Close,Adj Close,Volume
2/16/2021,393.959991,394.170013,391.529999,392.299988,375.255707,50972400
2/17/2021,390.420013,392.660004,389.329987,392.390015,375.341766,52290600
2/18/2021,389.589996,391.519989,387.73999,390.720001,373.744354,59712800
2/19/2021,392.070007,392.380005,389.549988,390.029999,373.08432,83241000
2/22/2021,387.059998,389.619995,386.73999,387.029999,370.214661,67414200
2/23/2021,384.660004,388.950012,380.200012,387.5,370.664246,107284100
2/24/2021,386.329987,392.230011,385.269989,391.769989,374.748688,72433900
2/25/2021,390.410004,391.880005,380.779999,382.329987,365.718842,146670500
2/26/2021,384.350006,385.579987,378.230011,380.359985,363.834473,152701600
3/1/2021,385.589996,390.920013,380.570007,389.579987,372.653839,105348800
3/2/2021,389.820007,390.070007,386,386.540009,369.74588,79595300
3/3/2021,385.790009,386.829987,381.309998,381.420013,364.84845,119940200
3/4/2021,381.220001,384,371.880005,376.700012,360.333496,183433000
3/5/2021,380.459991,384.76001,372.640015,383.630005,366.962341,152039600
3/8/2021,384.660004,387.679993,381.420013,381.720001,365.135345,123149200
3/9/2021,385.850006,389.910004,385.309998,387.170013,370.348602,113633600
3/10/2021,389.690002,391.399994,388.170013,389.579987,372.653839,109899400
3/11/2021,392.230011,395.649994,391.73999,393.529999,376.432251,86245000
3/12/2021,392.070007,394.209991,391.200012,394.059998,376.93927,64653600
3/15/2021,394.329987,396.690002,392.029999,396.410004,379.187073,73427200
3/16/2021,397.070007,397.829987,395.079987,395.910004,378.708862,73722500
3/17/2021,394.529999,398.119995,393.299988,397.26001,380.000214,97959300
3/18/2021,394.480011,396.720001,390.75,391.480011,374.471344,115349100
3/19/2021,389.880005,391.570007,387.149994,389.480011,373.778442,113624500
3/22/2021,390.029999,394.070007,389.970001,392.589996,376.763092,73778600
3/23/2021,391.910004,393.459991,388.660004,389.5,373.797638,90686600
3/24/2021,391,392.75,387.470001,387.519989,371.89743,97588600
3/25/2021,385.980011,390.549988,383.899994,389.700012,373.989532,116128600
3/26/2021,390.929993,396.410004,390.290009,395.980011,380.016357,114409100
3/29/2021,394.399994,396.75,392.809998,395.779999,379.824493,108107600
3/30/2021,394.420013,395.450012,393.019989,394.730011,378.816772,76262200
3/31/2021,395.339996,398,395.309998,396.329987,380.352295,112734200
4/1/2021,398.399994,400.670013,398.179993,400.609985,384.459747,99682900
4/5/2021,403.459991,406.940002,403.380005,406.359985,389.977875,91684800
4/6/2021,405.76001,407.23999,405.399994,406.119995,389.747559,62021000
4/7/2021,405.940002,406.959991,405.450012,406.589996,390.198639,55836300
